Agency,Agency_Type,Dist_Channel,Prod_Name,Claim,Duration,Destination,Net_Sales,Commission,Age
3,1,0,12,0,22,79,29,9.57,36
3,1,0,12,0,22,79,29,9.57,36
6,1,1,16,0,65,4,49.5,29.7,32
6,1,1,16,0,60,4,39.6,23.76,32
6,1,1,16,0,79,OTHERS,19.8,11.88,41
9,0,1,25,0,66,140,27,42.35,44
6,1,1,16,0,47,140,39.6,23.76,32
6,1,1,16,0,63,4,27,65.34,29
6,1,1,16,0,57,129,19.8,11.88,44
6,1,1,16,0,22,4,27,59.4,37
9,0,1,8,0,33,OTHERS,26,9.1,36
9,0,1,8,0,1,79,18,6.3,47
10,1,1,15,0,53,OTHERS,27,49.4,48
6,1,1,16,0,5,79,39.6,23.76,36
7,1,1,1,0,39,OTHERS,25,0,36
6,1,1,16,0,6,OTHERS,19.8,11.88,53
6,1,1,16,0,48,OTHERS,79.2,47.52,43
6,1,1,16,0,11,140,29.7,17.82,36
9,0,1,8,0,3,79,18,6.3,47
6,1,1,16,0,14,129,69.3,41.58,37
6,1,1,16,0,22,OTHERS,27,65.34,32
2,0,1,9,0,12,118,46.15,11.54,44
2,0,1,9,0,7,118,17.55,4.39,25
2,0,1,9,0,12,118,94,23.5,34
2,0,1,17,0,22,118,27,73.69,26
2,0,1,4,0,22,118,27,97.25,30
6,1,1,16,0,29,140,9.9,5.94,33
6,1,1,16,0,28,140,9.9,5.94,33
6,1,1,16,0,22,OTHERS,69.3,41.58,35
6,1,1,16,0,28,OTHERS,19.8,11.88,31
6,1,1,16,0,4,OTHERS,29.7,17.82,36
6,1,1,16,0,54,4,0,41.58,31
6,1,1,16,0,24,4,89.1,53.46,33
7,1,1,1,0,9,57,25,0,36
7,1,1,1,0,12,79,24,0,36
7,1,1,1,0,45,79,20,0,36
7,1,1,1,0,35,56,27,0,36
7,1,1,1,0,28,129,20,0,44
7,1,1,1,0,24,26,43,0,36
7,1,1,1,0,8,OTHERS,78,0,36
7,1,1,1,0,22,57,20,0,36
7,1,1,1,0,36,OTHERS,22,0,36
7,1,1,1,0,3,OTHERS,27,0,46
7,1,1,1,0,38,118,41,0,36
7,1,1,1,0,36,140,95,0,49
7,1,1,1,0,4,129,20,0,50
7,1,1,1,0,3,79,20,0,36
7,1,1,1,0,13,129,35,0,36
7,1,1,1,0,11,102,43,0,36
7,1,1,1,0,27,57,20,0,36
7,1,1,1,0,16,OTHERS,47,0,36
7,1,1,1,0,12,26,29,0,36
7,1,1,1,0,39,57,20,0,46
7,1,1,1,0,19,79,20,0,46
7,1,1,1,0,18,53,30,0,36
7,1,1,1,0,22,79,20,0,46
7,1,1,1,0,105,OTHERS,44,0,25
7,1,1,1,0,23,OTHERS,57,0,36
7,1,1,1,0,57,OTHERS,37,0,36
7,1,1,1,0,29,OTHERS,46,0,36
7,1,1,10,0,1,56,10,0,36
7,1,1,10,0,15,OTHERS,16,0,36
7,1,1,10,0,16,OTHERS,28,0,36
7,1,1,10,0,22,102,21,0,36
7,1,1,10,0,90,53,37,0,36
7,1,1,10,0,91,102,18,0,36
7,1,1,10,0,2,118,14,0,31
7,1,1,10,0,17,129,19,0,36
7,1,1,10,0,10,102,37,0,36
7,1,1,10,0,11,129,10,0,36
7,1,1,10,0,22,OTHERS,80,0,36
7,1,1,10,0,36,OTHERS,16,0,36
7,1,1,10,0,12,140,39,0,32
7,1,1,10,0,18,OTHERS,14,0,36
7,1,1,10,0,6,56,25,0,43
7,1,1,10,0,2,79,10,0,35
7,1,1,10,0,18,129,10,0,36
7,1,1,10,0,2,53,10,0,36
7,1,1,10,0,39,118,68,0,36
7,1,1,10,0,4,140,17,0,35
7,1,1,10,0,38,OTHERS,0,0,36
7,1,1,10,0,10,OTHERS,23,0,36
7,1,1,10,0,92,OTHERS,80,0,36
7,1,1,10,0,22,OTHERS,80,0,24
7,1,1,10,0,10,129,10,0,30
7,1,1,10,0,64,79,10,0,36
7,1,1,10,0,7,79,15,0,36
7,1,1,10,0,8,OTHERS,0,0,36
7,1,1,10,0,37,129,30,0,43
7,1,1,10,0,2,OTHERS,16,0,36
7,1,1,10,0,31,OTHERS,58,0,29
7,1,1,10,0,41,OTHERS,20,0,40
7,1,1,10,0,6,79,10,0,29
7,1,1,10,0,8,57,17,0,43
7,1,1,10,0,5,57,37,0,36
7,1,1,10,0,22,26,27,0,36
7,1,1,10,0,10,OTHERS,51,0,36
7,1,1,10,0,29,102,13,0,36
7,1,1,0,0,50,4,24,0,36
7,1,1,0,0,1,OTHERS,20,0,36
7,1,1,0,0,2,26,26,0,36
7,1,1,0,0,1,118,86,0,36
7,1,1,0,0,8,OTHERS,28,0,36
7,1,1,0,0,19,79,20,0,36
7,1,1,0,0,24,OTHERS,90,0,36
8,0,1,25,0,11,56,50,20,36
12,0,1,25,0,4,OTHERS,15,6,44
13,0,1,22,0,55,118,21.35,5.98,48
13,0,1,22,0,15,118,6.5,1.82,48
9,0,1,8,0,45,4,26,9.1,31
9,0,1,8,0,22,57,30,10.5,48
9,0,1,8,0,5,57,22,7.7,29
9,0,1,8,0,22,129,18,6.3,36
9,0,1,8,0,76,4,35,12.25,36
